name,value,year,lastValue,rank
Jeff Bezos,131,2019,112,1
Bill Gates,96.5,2019,90,2
Warren Buffett,82.5,2019,84,3
Bernard Arnault,76,2019,72,4
Carlos Slim,64,2019,67.1,5
Amancio Ortega,62.7,2019,70,6
Larry Ellison,62.5,2019,58.5,7
Mark Zuckerberg,62.3,2019,71,8
Michael Bloomberg,55.5,2019,0,9
David Koch,51.8,2019,60,10
Jeff Bezos,112,2018,72.8,1
Bill Gates,90,2018,86,2
Warren Buffett,84,2018,75.6,3
Bernard Arnault,72,2018,0,4
Mark Zuckerberg,71,2018,56,5
Amancio Ortega,70,2018,71.3,6
Carlos Slim,67.1,2018,54.5,7
Charles Koch,60,2018,48.3,8
David Koch,60,2018,48.3,9
Larry Ellison,58.5,2018,52.2,10
Bill Gates,86,2017,75,1
Warren Buffett,75.6,2017,60.8,2
Jeff Bezos,72.8,2017,45.2,3
Amancio Ortega,71.3,2017,67,4
Mark Zuckerberg,56,2017,44.6,5
Carlos Slim,54.5,2017,50,6
Larry Ellison,52.2,2017,43.6,7
Charles Koch,48.3,2017,39.6,8
David Koch,48.3,2017,39.6,9
Michael Bloomberg,47.5,2017,40,10
Bill Gates,75,2016,79.2,1
Amancio Ortega,67,2016,64.5,2
Warren Buffett,60.8,2016,72.7,3
Carlos Slim,50,2016,77.1,4
Jeff Bezos,45.2,2016,0,5
Mark Zuckerberg,44.6,2016,0,6
Larry Ellison,43.6,2016,54.3,7
Michael Bloomberg,40,2016,0,8
Charles Koch,39.6,2016,42.9,9
David Koch,39.6,2016,42.9,10
Bill Gates,79.2,2015,76,1
Carlos Slim,77.1,2015,72,2
Warren Buffett,72.7,2015,58.5,3
Amancio Ortega,64.5,2015,64,4
Larry Ellison,54.3,2015,48,5
Charles Koch,42.9,2015,40,6
David Koch,42.9,2015,40,7
Christy Walton,41.7,2015,36.7,8
Jim Walton,40.6,2015,34.7,9
Liliane Bettencourt,40.1,2015,0,10
Bill Gates,76,2014,73,1
Carlos Slim,72,2014,67,2
Amancio Ortega,64,2014,57,3
Warren Buffett,58.2,2014,53.5,4
Larry Ellison,48,2014,43,5
Charles Koch,40,2014,34,6
David Koch,40,2014,34,7
Sheldon Adelson,38,2014,0,8
Christy Walton,36.7,2014,0,9
Jim Walton,34.7,2014,0,10
Carlos Slim,73,2013,73,1
Bill Gates,67,2013,67,2
Amancio Ortega,57,2013,57,3
Warren Buffett,53.5,2013,53.5,4
Larry Ellison,43,2013,43,5
Charles Koch,34,2013,34,6
David Koch,34,2013,34,7
Li Ka-shing,31,2013,31,8
Liliane Bettencourt,30,2013,30,9
Bernard Arnault,29,2013,29,10
Carlos Slim,73,2012,74,1
Bill Gates,67,2012,56,2
Amancio Ortega,57,2012,31,3
Warren Buffett,53.5,2012,50,4
Larry Ellison,43,2012,39.5,5
Charles Koch,34,2012,31.01,6
David Koch,34,2012,0,7
Li Ka-shing,31,2012,0,8
Liliane Bettencourt,30,2012,0,9
Bernard Arnault,29,2012,41,10
Carlos Slim,74,2011,53.5,1
Bill Gates,56,2011,53,2
Warren Buffett,50,2011,47,3
Bernard Arnault,41,2011,27.5,4
Larry Ellison,39.5,2011,28,5
Lakshmi Mittal,31.1,2011,28.7,6
Amancio Ortega,31,2011,25,7
Eike Batista,30,2011,27,8
Mukesh Ambani,27,2011,29,9
Christy Walton,26.5,2011,0,10
Carlos Slim,53.5,2010,35,1
Bill Gates,53,2010,40,2
Warren Buffett,47,2010,37,3
Mukesh Ambani,29,2010,19.5,4
Lakshmi Mittal,28.7,2010,19.3,5
Larry Ellison,28,2010,22.5,6
Bernard Arnault,27.5,2010,0,7
Eike Batista,27,2010,0,8
Amancio Ortega,25,2010,18.3,9
Karl Albrecht,23.5,2010,21.5,10
Bill Gates,40,2009,58,1
Warren Buffett,37,2009,62,2
Carlos Slim,35,2009,60,3
Larry Ellison,22.5,2009,0,4
Ingvar Kamprad,22,2009,31,5
Karl Albrecht,21.5,2009,27,6
Mukesh Ambani,19.5,2009,43,7
Lakshmi Mittal,19.3,2009,45,8
Theo Albrecht,18.8,2009,0,9
Amancio Ortega,18.3,2009,0,10
Warren Buffett,62,2008,52,1
Carlos Slim,60,2008,49,2
Bill Gates,58,2008,56,3
Lakshmi Mittal,45,2008,32,4
Mukesh Ambani,43,2008,0,5
Anil Ambani,42,2008,0,6
Ingvar Kamprad,31,2008,33,7
Kushal Pal Singh,30,2008,0,8
Oleg Deripaska,28,2008,0,9
Karl Albrecht,27,2008,0,10
Bill Gates,56,2007,52,1
Warren Buffett,52,2007,42,2
Carlos Slim,49,2007,30,3
Ingvar Kamprad,33,2007,28,4
Lakshmi Mittal,32,2007,23.5,5
Sheldon Adelson,26.5,2007,0,6
Bernard Arnault,26,2007,21.5,7
Amancio Ortega,24,2007,0,8
Li Ka-shing,23,2007,18.8,9
David Thomson,22,2007,0,10
Bill Gates,52,2006,46.5,1
Warren Buffett,42,2006,44,2
Carlos Slim,30,2006,23.8,3
Ingvar Kamprad,28,2006,23,4
Lakshmi Mittal,23.5,2006,25,5
Paul Allen,22,2006,21,6
Bernard Arnault,21.5,2006,0,7
Al-Waleed bin Talal,20,2006,23.7,8
Kenneth Thomson,19.6,2006,0,9
Li Ka-shing,18.8,2006,0,10
Bill Gates,46.5,2005,46.6,1
Warren Buffett,44,2005,42.9,2
Lakshmi Mittal,25,2005,0,3
Carlos Slim,23.8,2005,0,4
Al-Waleed bin Talal,23.7,2005,21.5,5
Ingvar Kamprad,23,2005,0,6
Paul Allen,21,2005,21,7
Karl Albrecht,18.5,2005,23,8
Larry Ellison,18.4,2005,0,9
S. Robson Walton,18.3,2005,20,10
Bill Gates,46.6,2004,40.7,1
Warren Buffett,42.9,2004,30.5,2
Karl Albrecht,23,2004,25.6,3
Al-Waleed bin Talal,21.5,2004,17.7,4
Paul Allen,21,2004,20.1,5
Alice Walton,20,2004,16.5,6
Helen Walton,20,2004,16.5,7
Jim Walton,20,2004,16.5,8
John Walton,20,2004,16.5,9
S. Robson Walton,20,2004,0,10
Bill Gates,40.7,2003,52.8,1
Warren Buffett,30.5,2003,35,2
Karl Albrecht,25.6,2003,26.8,3
Paul Allen,20.1,2003,25.2,4
Al-Waleed bin Talal,17.7,2003,0,5
Larry Ellison,16.6,2003,23.5,6
Alice Walton,16.5,2003,20.5,7
Helen Walton,16.5,2003,20.5,8
Jim Walton,16.5,2003,20.8,9
John Walton,16.5,2003,20.7,10
Bill Gates,52.8,2002,58.7,1
Warren Buffett,35,2002,32.3,2
Karl Albrecht,26.8,2002,25,3
Paul Allen,25.2,2002,30.4,4
Larry Ellison,23.5,2002,26,5
Jim Walton,20.8,2002,18.8,6
John Walton,20.7,2002,18.7,7
Alice Walton,20.5,2002,18.5,8
S. Robson Walton,20.5,2002,18.6,9
Helen Walton,20.5,2002,0,10
Bill Gates,58.7,2001,60,1
Warren Buffett,32.3,2001,25.6,2
Paul Allen,30.4,2001,28,3
Larry Ellison,26,2001,47,4
Karl Albrecht,25,2001,20,5
Al-Waleed bin Talal,20,2001,20,6
Jim Walton,18.8,2001,0,7
John Walton,18.7,2001,0,8
S. Robson Walton,18.6,2001,20,9
Alice Walton,18.5,2001,0,10
Bill Gates,60,2000,60,1
Larry Ellison,47,2000,47,2
Paul Allen,28,2000,28,3
Warren Buffett,25.6,2000,25.6,4
Karl Albrecht,20,2000,20,5
Al-Waleed bin Talal,20,2000,20,6
S. Robson Walton,20,2000,20,7
Masayoshi Son,20,2000,20,8
Michael Dell,19.1,2000,19.1,9
Kenneth Thomson,16.1,2000,16.1,10
